"id","father","mother","age","sexe","career"
"43dl1","NRp0","36jb7",0,"F",0
"43ol6","NRi9","39xv5",0,"F",0
"43vr2","NRi9","37ko1",0,"F",0
"43kl1","NRi9","39br8",0,"F",0
"43qm8","NRi9","35ip2",0,"F",0
"42ff8","NRp0","37up4",1,"F",1
"42sv9","NRi9","37yk2",1,"F",1
"42iy2","NRi9","35ip2",1,"F",1
"41qe3","NRj0","36nf7",2,"F",2
"41zc1","NRj0","36vg5",2,"F",2
"41es6","NRp5","34jf8",2,"F",2
"41pe1","NRj0","35cx8",2,"F",2
"40qf4","NRj0","36jb7",3,"F",3
"40ke2","NRp5","36yq8",3,"F",3
"40sr7","NRj0","38yf8",3,"F",3
"40vy7","NRp5","37up4",3,"F",3
"40ef7","NRp5","32pd4",3,"F",3
"39xv5","NRj0","31qz1",4,"F",4
"39np8","NRp5","33fx8",4,"F",4
"39lk9","NRp5","35qk9",4,"F",4
"39jc9","NRj0","31ml2",4,"F",4
"39co1","NRj0","32mm9",4,"F",4
"39br8","NRj0","37nd5",4,"F",4
"38yk6","NRj0","33pa3",5,"F",5
"38yf8","NRj0","32oy3",5,"F",5
"38qo8","NRp5","30bp5",5,"F",5
"38nz6","NRj0","35xv3",5,"F",5
"37yk2","NRl3","34mh7",6,"F",6
"37nd5","NRh1","35cx8",6,"F",6
"37ri6","NRl3","29ah0",6,"F",6
"37lk5","NRl3","31ml2",6,"F",6
"37up4","NRh1","30xd3",6,"F",6
"37lg9","NRl3","30py8",6,"F",6
"37ip6","NRh1","31wr3",6,"F",6
"37ko1","NRh1","33pa3",6,"F",6
"36td1","NRl3","29ud8",7,"F",7
"36jb7","NRl3","33pa3",7,"F",7
"36vg5","NRh1","31bk1",7,"F",7
"36yq8","NRh1","31wh3",7,"F",7
"36nf7","NRl3","33rr8",7,"F",7
"NRi9","RFl5","RMs8",7,"M",2
"NRp0","RFa9","RMk7",5,"M",2
