"id","father","mother","age","sexe","career"
"26xm9","NRp6","20hh5",0,"F",0
"26qa0","NRp6","22vt7",0,"F",0
"26gu5","NRz8","18um9",0,"F",0
"25gn4","NRt5","19nw2",1,"F",1
"25xn4","NRt5","19kr0",1,"F",1
"25ps5","NRt5","23mc8",1,"F",1
"25zv7","NRq1","20gl2",1,"F",1
"24km0","NRt5","20gl2",2,"F",2
"24az7","NRt5","20cm1",2,"F",2
"24ts4","NRq1","16qr3",2,"F",2
"24ph5","NRt5","16up8",2,"F",2
"24le7","NRq1","18um9",2,"F",2
"23rt5","NRt5","19gi6",3,"F",3
"23rf5","NRt5","16ky3",3,"F",3
"23mc8","NRq1","15uh9",3,"F",3
"23eo7","NRt5","15ej0",3,"F",3
"23yk4","NRq1","20gl2",3,"F",3
"23ng4","NRt5","19tm1",3,"F",3
"22fc5","NRt5","19nw2",4,"F",4
"22lg6","NRq1","19eo5",4,"F",4
"22vt7","NRq1","16up8",4,"F",4
"22wp3","NRt5","14kv3",4,"F",4
"21so8","NRz7","13uv8",5,"F",5
"21nq5","NRg3","14kv3",5,"F",5
"21wt4","NRz7","18jy8",5,"F",5
"21fa2","NRz7","18um9",5,"F",5
"21qf8","NRz7","16my5",5,"F",5
"21wf7","NRg3","13pb1",5,"F",5
"21vw9","NRg3","19gi6",5,"F",5
"21mc8","NRg3","15cy0",5,"F",5
"20ju8","NRg3","18um9",6,"F",6
"20hh5","NRz7","13pb1",6,"F",6
"20cm1","NRg3","13dk1",6,"F",6
"20gl2","NRg3","12ka8",6,"F",6
"20bp4","NRg3","13hd0",6,"F",6
"19tm1","NRg3","17yj1",7,"F",7
"19gi6","NRz7","11lu3",7,"F",7
"19eo5","NRg3","11bc5",7,"F",7
"19kr0","NRz7","12tc7",7,"F",7
"19nw2","NRz7","17zq0",7,"F",7
"NRz8","RFo3","RMt7",6,"M",1
"NRp6","RFq5","RMt6",9,"M",1
