"id","father","mother","age","sexe","career"
"45sk3","NRi9","37lg9",0,"F",0
"45dw9","NRp0","37yk2",0,"F",0
"45wn2","NRp0","39np8",0,"F",0
"45sv5","NRi9","42iy2",0,"F",0
"45bt7","NRp0","40sr7",0,"F",0
"45zo2","NRi9","42ff8",0,"F",0
"45ei2","NRi9","37ip6",0,"F",0
"45lo1","NRi9","39jc9",0,"F",0
"44jc8","NRp0","38qo8",1,"F",1
"44qq2","NRp0","41qe3",1,"F",1
"44pu1","NRi9","41es6",1,"F",1
"44tl3","NRp0","41pe1",1,"F",1
"44gp8","NRi9","36jb7",1,"F",1
"43dl1","NRp0","36jb7",2,"F",2
"43ol6","NRi9","39xv5",2,"F",2
"43vr2","NRi9","37ko1",2,"F",2
"43kl1","NRi9","39br8",2,"F",2
"43qm8","NRi9","35ip2",2,"F",2
"42ff8","NRp0","37up4",3,"F",3
"42sv9","NRi9","37yk2",3,"F",3
"42iy2","NRi9","35ip2",3,"F",3
"41qe3","NRj0","36nf7",4,"F",4
"41zc1","NRj0","36vg5",4,"F",4
"41es6","NRp5","34jf8",4,"F",4
"41pe1","NRj0","35cx8",4,"F",4
"40qf4","NRj0","36jb7",5,"F",5
"40ke2","NRp5","36yq8",5,"F",5
"40sr7","NRj0","38yf8",5,"F",5
"40vy7","NRp5","37up4",5,"F",5
"40ef7","NRp5","32pd4",5,"F",5
"39xv5","NRj0","31qz1",6,"F",6
"39np8","NRp5","33fx8",6,"F",6
"39lk9","NRp5","35qk9",6,"F",6
"39jc9","NRj0","31ml2",6,"F",6
"39co1","NRj0","32mm9",6,"F",6
"39br8","NRj0","37nd5",6,"F",6
"38yk6","NRj0","33pa3",7,"F",7
"38yf8","NRj0","32oy3",7,"F",7
"38qo8","NRp5","30bp5",7,"F",7
"38nz6","NRj0","35xv3",7,"F",7
"NRm5","RFr9","RMd1",4,"M",0
"NRb8","RFu1","RMe4",5,"M",0
