"id","father","mother","age","sexe","career"
"44jc8","NRp0","38qo8",0,"F",0
"44qq2","NRp0","41qe3",0,"F",0
"44pu1","NRi9","41es6",0,"F",0
"44tl3","NRp0","41pe1",0,"F",0
"44gp8","NRi9","36jb7",0,"F",0
"43dl1","NRp0","36jb7",1,"F",1
"43ol6","NRi9","39xv5",1,"F",1
"43vr2","NRi9","37ko1",1,"F",1
"43kl1","NRi9","39br8",1,"F",1
"43qm8","NRi9","35ip2",1,"F",1
"42ff8","NRp0","37up4",2,"F",2
"42sv9","NRi9","37yk2",2,"F",2
"42iy2","NRi9","35ip2",2,"F",2
"41qe3","NRj0","36nf7",3,"F",3
"41zc1","NRj0","36vg5",3,"F",3
"41es6","NRp5","34jf8",3,"F",3
"41pe1","NRj0","35cx8",3,"F",3
"40qf4","NRj0","36jb7",4,"F",4
"40ke2","NRp5","36yq8",4,"F",4
"40sr7","NRj0","38yf8",4,"F",4
"40vy7","NRp5","37up4",4,"F",4
"40ef7","NRp5","32pd4",4,"F",4
"39xv5","NRj0","31qz1",5,"F",5
"39np8","NRp5","33fx8",5,"F",5
"39lk9","NRp5","35qk9",5,"F",5
"39jc9","NRj0","31ml2",5,"F",5
"39co1","NRj0","32mm9",5,"F",5
"39br8","NRj0","37nd5",5,"F",5
"38yk6","NRj0","33pa3",6,"F",6
"38yf8","NRj0","32oy3",6,"F",6
"38qo8","NRp5","30bp5",6,"F",6
"38nz6","NRj0","35xv3",6,"F",6
"37yk2","NRl3","34mh7",7,"F",7
"37nd5","NRh1","35cx8",7,"F",7
"37ri6","NRl3","29ah0",7,"F",7
"37lk5","NRl3","31ml2",7,"F",7
"37up4","NRh1","30xd3",7,"F",7
"37lg9","NRl3","30py8",7,"F",7
"37ip6","NRh1","31wr3",7,"F",7
"37ko1","NRh1","33pa3",7,"F",7
"NRi9","RFl5","RMs8",8,"M",3
"NRp0","RFa9","RMk7",6,"M",3
