"id","father","mother","age","sexe","career"
"6tq2","NRl0","0yg9",0,"F",0
"6or3","NRy4","1bu6",0,"F",0
"6qy3","NRl0","4jm7",0,"F",0
"6jz7","NRy4","3im7",0,"F",0
"5du9","0th1","0fa1",1,"F",1
"5lq5","0bv8","1jx6",1,"F",1
"5dy0","0bv8","0hy6",1,"F",1
"5kq9","0bv8","3kl4",1,"F",1
"5se9","0bv8","0aa7",1,"F",1
"5az8","0bv8","0bb6",1,"F",1
"5et6","0bv8","1aw3",1,"F",1
"5rm0","0bv8","0ra5",1,"F",1
"4ta2","0bv8","0it3",2,"F",2
"4pv0","0th1","0tn8",2,"F",2
"4ti4","0th1","0fa1",2,"F",2
"4af5","0bv8","0nu4",2,"F",2
"4jm7","0th1","0gl7",2,"F",2
"3kl4","0bv8","0kf6",3,"F",3
"3lu9","0bv8","0le6",3,"F",3
"3vp4","0bv8","0bb6",3,"F",3
"3im7","0bv8","0op6",3,"F",3
"3rc1","0bv8","0gy2",3,"F",3
"2ac8","0bv8","0ij7",4,"F",4
"2ee0","0bv8","0aa7",4,"F",4
"2hs9","0bv8","0co5",4,"F",4
"1bu6","0th1","0kf6",5,"F",5
"1aw3","0th1","0yj8",5,"F",5
"1di7","0th1","0co5",5,"F",5
"1jx6","0bv8","0nz7",5,"F",5
"0ru5","Fzp3","Men0",7,"F",5
"0aa7","Fhw4","Mqc6",7,"F",5
"0nu4","Frl6","Mew4",7,"F",5
"0yg9","Fty4","Mxv1",7,"F",5
"0rm8","Fdw6","Mxq4",6,"F",5
"0bb6","Fzn6","Mkl5",6,"F",5
"0ck5","Fiq3","Mqk0",7,"F",5
"0gy2","Frc6","Mbw8",6,"F",5
"0yg7","Fjg1","Mjx4",7,"F",5
"0qk1","Fxd9","Mbp3",6,"F",5
"0rw5","Fph7","Mpz4",6,"F",5
"NRy4","RFz3","RMq5",7,"M",1
"NRl0","RFw7","RMd6",8,"M",1
