"id","father","mother","age","sexe","career"
"25gn4","NRt5","19nw2",0,"F",0
"25xn4","NRt5","19kr0",0,"F",0
"25ps5","NRt5","23mc8",0,"F",0
"25zv7","NRq1","20gl2",0,"F",0
"24km0","NRt5","20gl2",1,"F",1
"24az7","NRt5","20cm1",1,"F",1
"24ts4","NRq1","16qr3",1,"F",1
"24ph5","NRt5","16up8",1,"F",1
"24le7","NRq1","18um9",1,"F",1
"23rt5","NRt5","19gi6",2,"F",2
"23rf5","NRt5","16ky3",2,"F",2
"23mc8","NRq1","15uh9",2,"F",2
"23eo7","NRt5","15ej0",2,"F",2
"23yk4","NRq1","20gl2",2,"F",2
"23ng4","NRt5","19tm1",2,"F",2
"22fc5","NRt5","19nw2",3,"F",3
"22lg6","NRq1","19eo5",3,"F",3
"22vt7","NRq1","16up8",3,"F",3
"22wp3","NRt5","14kv3",3,"F",3
"21so8","NRz7","13uv8",4,"F",4
"21nq5","NRg3","14kv3",4,"F",4
"21wt4","NRz7","18jy8",4,"F",4
"21fa2","NRz7","18um9",4,"F",4
"21qf8","NRz7","16my5",4,"F",4
"21wf7","NRg3","13pb1",4,"F",4
"21vw9","NRg3","19gi6",4,"F",4
"21mc8","NRg3","15cy0",4,"F",4
"20ju8","NRg3","18um9",5,"F",5
"20hh5","NRz7","13pb1",5,"F",5
"20cm1","NRg3","13dk1",5,"F",5
"20gl2","NRg3","12ka8",5,"F",5
"20bp4","NRg3","13hd0",5,"F",5
"19tm1","NRg3","17yj1",6,"F",6
"19gi6","NRz7","11lu3",6,"F",6
"19eo5","NRg3","11bc5",6,"F",6
"19kr0","NRz7","12tc7",6,"F",6
"19nw2","NRz7","17zq0",6,"F",6
"18wo1","NRz7","11qb0",7,"F",7
"18jy8","NRg3","11dw0",7,"F",7
"18um9","NRg3","11lu3",7,"F",7
"NRz8","RFo3","RMt7",5,"M",0
"NRp6","RFq5","RMt6",8,"M",0
