"id","father","mother","age","sexe","career"
"2aq8","0kq1","0ec5",0,"F",0
"2wk8","0ne6","0jz7",0,"F",0
"2vx0","0kq1","0we4",0,"F",0
"2uc1","0kq1","0an2",0,"F",0
"2vi4","0kq1","0os8",0,"F",0
"2zn0","0kq1","0ab1",0,"F",0
"2st9","0kq1","0kv6",0,"F",0
"2zi0","0kq1","0xg7",0,"F",0
"2zz7","0ne6","0vz3",0,"F",0
"1jl4","0kq1","0zq9",1,"F",1
"1ww5","0ne6","0os8",1,"F",1
"1sb7","0ne6","0ev2",1,"F",1
"1ar5","0ne6","0jz7",1,"F",1
"1tq1","0ne6","0xg7",1,"F",1
"1fl8","0ne6","0dx7",1,"F",1
"0jw1","Frp3","Mlw2",2,"F",1
"0vw2","Fep8","Mhl7",7,"F",1
"0vz3","Fxv0","Mdl7",7,"F",1
"0sy0","Frr8","Min8",5,"F",1
"0iv4","Fql7","Mgq9",5,"F",1
"0cl7","Fvd9","Mpa0",4,"F",1
"0xn5","Fin9","Mwf0",2,"F",1
"0we4","Ftd6","Mtd0",5,"F",1
"0os8","Fls7","Mwk7",7,"F",1
"0sy1","Fyx4","Muq4",3,"F",1
"0zq9","Fqb5","Mpl5",3,"F",1
"0ax9","Fqf1","Mpj4",3,"F",1
"0pn8","Fwl6","Mjt6",6,"F",1
"0ec5","Fsb0","Mzf4",5,"F",1
"0dz6","Fgd7","Mdp2",3,"F",1
"0dx7","Fsy1","Mny3",6,"F",1
"0ab1","Fmj3","Mdg9",2,"F",1
"0ui4","Fgt0","Mih7",7,"F",1
"0cz7","Fde0","Mfq0",5,"F",1
"0hh6","Ffq7","Mih1",7,"F",1
"0wj5","Fro7","Mjb4",4,"F",1
"0ka4","Fha4","Mgk4",3,"F",1
"0uy8","Faw8","Mpu3",3,"F",1
"0wo4","Foz8","Mfj6",2,"F",1
"0ev2","Fsu3","Msi3",7,"F",1
"0kq1","Fle1","Mfo7",6,"M",1
"0ne6","Fhg1","Mll5",4,"M",1
