"id","father","mother","age","sexe","career"
"22fc5","NRt5","19nw2",0,"F",0
"22lg6","NRq1","19eo5",0,"F",0
"22vt7","NRq1","16up8",0,"F",0
"22wp3","NRt5","14kv3",0,"F",0
"21so8","NRz7","13uv8",1,"F",1
"21nq5","NRg3","14kv3",1,"F",1
"21wt4","NRz7","18jy8",1,"F",1
"21fa2","NRz7","18um9",1,"F",1
"21qf8","NRz7","16my5",1,"F",1
"21wf7","NRg3","13pb1",1,"F",1
"21vw9","NRg3","19gi6",1,"F",1
"21mc8","NRg3","15cy0",1,"F",1
"20ju8","NRg3","18um9",2,"F",2
"20hh5","NRz7","13pb1",2,"F",2
"20cm1","NRg3","13dk1",2,"F",2
"20gl2","NRg3","12ka8",2,"F",2
"20bp4","NRg3","13hd0",2,"F",2
"19tm1","NRg3","17yj1",3,"F",3
"19gi6","NRz7","11lu3",3,"F",3
"19eo5","NRg3","11bc5",3,"F",3
"19kr0","NRz7","12tc7",3,"F",3
"19nw2","NRz7","17zq0",3,"F",3
"18wo1","NRz7","11qb0",4,"F",4
"18jy8","NRg3","11dw0",4,"F",4
"18um9","NRg3","11lu3",4,"F",4
"17yj1","NRt8","12tc7",5,"F",5
"17ve6","NRt8","9rl1",5,"F",5
"17wg6","NRl3","11bc5",5,"F",5
"17zq0","NRt8","14sn2",5,"F",5
"16my5","NRt8","10fp1",6,"F",6
"16kl6","NRt8","14kv3",6,"F",6
"16qr3","NRl3","11dw0",6,"F",6
"16ky3","NRl3","14sn2",6,"F",6
"16up8","NRt8","13hd0",6,"F",6
"15cy0","NRt8","7ch6",7,"F",7
"15sr3","NRl3","7wc1",7,"F",7
"15zm3","NRt8","7wj0",7,"F",7
"15ej0","NRl3","9lm9",7,"F",7
"15uh9","NRl3","13hd0",7,"F",7
"15hi1","NRl3","13pb1",7,"F",7
"NRt5","RFa1","RMb4",9,"M",1
"NRq1","RFu0","RMw4",6,"M",1
