"id","father","mother","age","sexe","career"
"3kl4","0bv8","0kf6",0,"F",0
"3lu9","0bv8","0le6",0,"F",0
"3vp4","0bv8","0bb6",0,"F",0
"3im7","0bv8","0op6",0,"F",0
"3rc1","0bv8","0gy2",0,"F",0
"2ac8","0bv8","0ij7",1,"F",1
"2ee0","0bv8","0aa7",1,"F",1
"2hs9","0bv8","0co5",1,"F",1
"1bu6","0th1","0kf6",2,"F",2
"1aw3","0th1","0yj8",2,"F",2
"1di7","0th1","0co5",2,"F",2
"1jx6","0bv8","0nz7",2,"F",2
"0ru5","Fzp3","Men0",4,"F",2
"0aa7","Fhw4","Mqc6",4,"F",2
"0tn8","Fcm4","Mbi6",7,"F",2
"0gl7","Frf5","Mah8",7,"F",2
"0mp4","Fja6","Msz0",6,"F",2
"0nu4","Frl6","Mew4",4,"F",2
"0yg9","Fty4","Mxv1",4,"F",2
"0wt6","Fcd4","Mxs4",6,"F",2
"0le6","Fti5","Mvr8",5,"F",2
"0nr5","Fos4","Mvh5",6,"F",2
"0rm8","Fdw6","Mxq4",3,"F",2
"0ra5","Fum5","Mxe5",6,"F",2
"0bb6","Fzn6","Mkl5",3,"F",2
"0op6","Fiw6","Mnv1",6,"F",2
"0ck5","Fiq3","Mqk0",4,"F",2
"0lv7","Fks6","Mqq8",7,"F",2
"0gy2","Frc6","Mbw8",3,"F",2
"0fa1","Fpc7","Mtp8",6,"F",2
"0na6","Fwp8","Mwo6",7,"F",2
"0yg7","Fjg1","Mjx4",4,"F",2
"0it3","Fpk5","Mue0",5,"F",2
"0ws4","Fnu9","Mrh5",5,"F",2
"0qk1","Fxd9","Mbp3",3,"F",2
"0nt7","Faj8","Mog2",6,"F",2
"0hy6","Frk1","Msu3",6,"F",2
"0kf6","Foa3","Mbo5",7,"F",2
"0rw5","Fph7","Mpz4",3,"F",2
"0xh2","For5","Mpc0",5,"F",2
"0bv8","Fgc1","Mts3",4,"M",2
"0th1","Fua8","Msr1",10,"M",2
