"id","father","mother","age","sexe","career"
"14sy1","NRl3","9rl1",0,"F",0
"14ft1","NRt8","12yg2",0,"F",0
"14sn2","NRl3","8hg0",0,"F",0
"14kv3","NRl3","11bc5",0,"F",0
"13hd0","NRb4","9lm9",1,"F",1
"13tj8","NRb4","9rl1",1,"F",1
"13fz2","NRb4","5az8",1,"F",1
"13dk3","NRc2","10tn9",1,"F",1
"13pb1","NRb4","5se9",1,"F",1
"13uv8","NRb4","11qb0",1,"F",1
"13dk1","NRc2","6or3",1,"F",1
"13jq6","NRb4","11bc5",1,"F",1
"12ka8","NRb4","8ip6",2,"F",2
"12tc7","NRb4","5dy0",2,"F",2
"12hr6","NRc2","7wc1",2,"F",2
"12kx9","NRc2","10fp1",2,"F",2
"12yg2","NRc2","4ti4",2,"F",2
"11qb0","NRc2","7ch6",3,"F",3
"11bc5","NRb4","7tu1",3,"F",3
"11lb3","NRb4","5et6",3,"F",3
"11dw0","NRb4","8ip6",3,"F",3
"11lu3","NRc2","3im7",3,"F",3
"10hu3","NRb4","7wj0",4,"F",4
"10fp1","NRb4","7wc1",4,"F",4
"10tn9","NRc2","5et6",4,"F",4
"9lm9","NRl0","5lq5",5,"F",5
"9rj7","NRl0","3lu9",5,"F",5
"9pg7","NRl0","5kq9",5,"F",5
"9rl1","NRy4","5se9",5,"F",5
"8ip6","NRy4","0bb6",6,"F",6
"8nr3","NRl0","6jz7",6,"F",6
"8hg0","NRy4","4ti4",6,"F",6
"8bn7","NRl0","1bu6",6,"F",6
"8it1","NRl0","5dy0",6,"F",6
"7ch6","NRy4","0rm8",7,"F",7
"7wj0","NRl0","0qk1",7,"F",7
"7ir8","NRl0","5kq9",7,"F",7
"7wc1","NRl0","3lu9",7,"F",7
"7wk9","NRy4","4jm7",7,"F",7
"7tu1","NRl0","5lq5",7,"F",7
"NRl3","RFg9","RMh4",4,"M",1
"NRt8","RFp9","RMo6",3,"M",1
