"id","father","mother","age","sexe","career"
"12ka8","NRb4","8ip6",0,"F",0
"12tc7","NRb4","5dy0",0,"F",0
"12hr6","NRc2","7wc1",0,"F",0
"12kx9","NRc2","10fp1",0,"F",0
"12yg2","NRc2","4ti4",0,"F",0
"11qb0","NRc2","7ch6",1,"F",1
"11bc5","NRb4","7tu1",1,"F",1
"11lb3","NRb4","5et6",1,"F",1
"11dw0","NRb4","8ip6",1,"F",1
"11lu3","NRc2","3im7",1,"F",1
"10hu3","NRb4","7wj0",2,"F",2
"10fp1","NRb4","7wc1",2,"F",2
"10tn9","NRc2","5et6",2,"F",2
"9lm9","NRl0","5lq5",3,"F",3
"9rj7","NRl0","3lu9",3,"F",3
"9pg7","NRl0","5kq9",3,"F",3
"9rl1","NRy4","5se9",3,"F",3
"8ip6","NRy4","0bb6",4,"F",4
"8nr3","NRl0","6jz7",4,"F",4
"8hg0","NRy4","4ti4",4,"F",4
"8bn7","NRl0","1bu6",4,"F",4
"8it1","NRl0","5dy0",4,"F",4
"7ch6","NRy4","0rm8",5,"F",5
"7wj0","NRl0","0qk1",5,"F",5
"7ir8","NRl0","5kq9",5,"F",5
"7wc1","NRl0","3lu9",5,"F",5
"7wk9","NRy4","4jm7",5,"F",5
"7tu1","NRl0","5lq5",5,"F",5
"6tq2","NRl0","0yg9",6,"F",6
"6or3","NRy4","1bu6",6,"F",6
"6qy3","NRl0","4jm7",6,"F",6
"6jz7","NRy4","3im7",6,"F",6
"5du9","0th1","0fa1",7,"F",7
"5lq5","0bv8","1jx6",7,"F",7
"5dy0","0bv8","0hy6",7,"F",7
"5kq9","0bv8","3kl4",7,"F",7
"5se9","0bv8","0aa7",7,"F",7
"5az8","0bv8","0bb6",7,"F",7
"5et6","0bv8","1aw3",7,"F",7
"5rm0","0bv8","0ra5",7,"F",7
"NRc2","RFp7","RMk6",9,"M",3
"NRb4","RFq6","RMf1",6,"M",3
