"id","father","mother","age","sexe","career"
"42ff8","NRp0","37up4",0,"F",0
"42sv9","NRi9","37yk2",0,"F",0
"42iy2","NRi9","35ip2",0,"F",0
"41qe3","NRj0","36nf7",1,"F",1
"41zc1","NRj0","36vg5",1,"F",1
"41es6","NRp5","34jf8",1,"F",1
"41pe1","NRj0","35cx8",1,"F",1
"40qf4","NRj0","36jb7",2,"F",2
"40ke2","NRp5","36yq8",2,"F",2
"40sr7","NRj0","38yf8",2,"F",2
"40vy7","NRp5","37up4",2,"F",2
"40ef7","NRp5","32pd4",2,"F",2
"39xv5","NRj0","31qz1",3,"F",3
"39np8","NRp5","33fx8",3,"F",3
"39lk9","NRp5","35qk9",3,"F",3
"39jc9","NRj0","31ml2",3,"F",3
"39co1","NRj0","32mm9",3,"F",3
"39br8","NRj0","37nd5",3,"F",3
"38yk6","NRj0","33pa3",4,"F",4
"38yf8","NRj0","32oy3",4,"F",4
"38qo8","NRp5","30bp5",4,"F",4
"38nz6","NRj0","35xv3",4,"F",4
"37yk2","NRl3","34mh7",5,"F",5
"37nd5","NRh1","35cx8",5,"F",5
"37ri6","NRl3","29ah0",5,"F",5
"37lk5","NRl3","31ml2",5,"F",5
"37up4","NRh1","30xd3",5,"F",5
"37lg9","NRl3","30py8",5,"F",5
"37ip6","NRh1","31wr3",5,"F",5
"37ko1","NRh1","33pa3",5,"F",5
"36td1","NRl3","29ud8",6,"F",6
"36jb7","NRl3","33pa3",6,"F",6
"36vg5","NRh1","31bk1",6,"F",6
"36yq8","NRh1","31wh3",6,"F",6
"36nf7","NRl3","33rr8",6,"F",6
"35rh1","NRh1","27io1",7,"F",7
"35cx8","NRh1","31ml2",7,"F",7
"35xv3","NRh1","31qz1",7,"F",7
"35ip2","NRh1","28mx8",7,"F",7
"35qk9","NRh1","29ws7",7,"F",7
"NRi9","RFl5","RMs8",6,"M",1
"NRp0","RFa9","RMk7",4,"M",1
