"id","father","mother","age","sexe","career"
"40qf4","NRj0","36jb7",0,"F",0
"40ke2","NRp5","36yq8",0,"F",0
"40sr7","NRj0","38yf8",0,"F",0
"40vy7","NRp5","37up4",0,"F",0
"40ef7","NRp5","32pd4",0,"F",0
"39xv5","NRj0","31qz1",1,"F",1
"39np8","NRp5","33fx8",1,"F",1
"39lk9","NRp5","35qk9",1,"F",1
"39jc9","NRj0","31ml2",1,"F",1
"39co1","NRj0","32mm9",1,"F",1
"39br8","NRj0","37nd5",1,"F",1
"38yk6","NRj0","33pa3",2,"F",2
"38yf8","NRj0","32oy3",2,"F",2
"38qo8","NRp5","30bp5",2,"F",2
"38nz6","NRj0","35xv3",2,"F",2
"37yk2","NRl3","34mh7",3,"F",3
"37nd5","NRh1","35cx8",3,"F",3
"37ri6","NRl3","29ah0",3,"F",3
"37lk5","NRl3","31ml2",3,"F",3
"37up4","NRh1","30xd3",3,"F",3
"37lg9","NRl3","30py8",3,"F",3
"37ip6","NRh1","31wr3",3,"F",3
"37ko1","NRh1","33pa3",3,"F",3
"36td1","NRl3","29ud8",4,"F",4
"36jb7","NRl3","33pa3",4,"F",4
"36vg5","NRh1","31bk1",4,"F",4
"36yq8","NRh1","31wh3",4,"F",4
"36nf7","NRl3","33rr8",4,"F",4
"35rh1","NRh1","27io1",5,"F",5
"35cx8","NRh1","31ml2",5,"F",5
"35xv3","NRh1","31qz1",5,"F",5
"35ip2","NRh1","28mx8",5,"F",5
"35qk9","NRh1","29ws7",5,"F",5
"34gh9","NRl3","31qz1",6,"F",6
"34mh7","NRh1","28ps3",6,"F",6
"34jf8","NRh1","30py8",6,"F",6
"33rr8","NRk3","28gz1",7,"F",7
"33cg9","NRk3","26xm9",7,"F",7
"33fx8","NRg1","26gu5",7,"F",7
"33pa3","NRg1","29fy5",7,"F",7
"NRj0","RFt3","RMd2",5,"M",3
"NRp5","RFa1","RMv1",10,"M",3
