"id","father","mother","age","sexe","career"
"5ey9","0kq1","0cz7",0,"F",0
"5fa1","0kq1","3cg4",0,"F",0
"5ho4","0ne6","0cl7",0,"F",0
"5yh1","0kq1","2zz7",0,"F",0
"5ad6","0kq1","2zi0",0,"F",0
"4ec8","0ne6","1ar5",1,"F",1
"4pc2","0kq1","1ww5",1,"F",1
"3ga9","0kq1","0zq9",2,"F",2
"3sj8","0ne6","0ec5",2,"F",2
"3qp3","0kq1","0ax9",2,"F",2
"3cg4","0ne6","0jw1",2,"F",2
"3nu8","0kq1","0hh6",2,"F",2
"3oi5","0kq1","0vw2",2,"F",2
"2aq8","0kq1","0ec5",3,"F",3
"2wk8","0ne6","0jz7",3,"F",3
"2vx0","0kq1","0we4",3,"F",3
"2uc1","0kq1","0an2",3,"F",3
"2vi4","0kq1","0os8",3,"F",3
"2zn0","0kq1","0ab1",3,"F",3
"2st9","0kq1","0kv6",3,"F",3
"2zi0","0kq1","0xg7",3,"F",3
"2zz7","0ne6","0vz3",3,"F",3
"1jl4","0kq1","0zq9",4,"F",4
"1ww5","0ne6","0os8",4,"F",4
"1sb7","0ne6","0ev2",4,"F",4
"1ar5","0ne6","0jz7",4,"F",4
"1tq1","0ne6","0xg7",4,"F",4
"1fl8","0ne6","0dx7",4,"F",4
"0jw1","Frp3","Mlw2",5,"F",4
"0cl7","Fvd9","Mpa0",7,"F",4
"0xn5","Fin9","Mwf0",5,"F",4
"0sy1","Fyx4","Muq4",6,"F",4
"0zq9","Fqb5","Mpl5",6,"F",4
"0ax9","Fqf1","Mpj4",6,"F",4
"0dz6","Fgd7","Mdp2",6,"F",4
"0ab1","Fmj3","Mdg9",5,"F",4
"0wj5","Fro7","Mjb4",7,"F",4
"0ka4","Fha4","Mgk4",6,"F",4
"0uy8","Faw8","Mpu3",6,"F",4
"0wo4","Foz8","Mfj6",5,"F",4
"0kq1","Fle1","Mfo7",9,"M",4
"0ne6","Fhg1","Mll5",7,"M",4
