"id","father","mother","age","sexe","career"
"34gh9","NRl3","31qz1",0,"F",0
"34mh7","NRh1","28ps3",0,"F",0
"34jf8","NRh1","30py8",0,"F",0
"33rr8","NRk3","28gz1",1,"F",1
"33cg9","NRk3","26xm9",1,"F",1
"33fx8","NRg1","26gu5",1,"F",1
"33pa3","NRg1","29fy5",1,"F",1
"32pd4","NRk3","26xm9",2,"F",2
"32th7","NRk3","24le7",2,"F",2
"32op6","NRg1","29uk5",2,"F",2
"32mm9","NRg1","25ps5",2,"F",2
"32oy3","NRg1","28mx8",2,"F",2
"31wr3","NRg1","29eb3",3,"F",3
"31wh3","NRg1","28pl8",3,"F",3
"31qe3","NRg1","28zx4",3,"F",3
"31bk1","NRg1","28gz1",3,"F",3
"31qz1","NRk3","27ko9",3,"F",3
"31ml2","NRg1","29ud8",3,"F",3
"30bp5","NRg1","24le7",4,"F",4
"30py8","NRk3","24ph5",4,"F",4
"30jt9","NRg1","23rf5",4,"F",4
"30xd3","NRg1","28gz1",4,"F",4
"29nt5","NRp6","26qa0",5,"F",5
"29fy5","NRp6","24ph5",5,"F",5
"29uk5","NRp6","24le7",5,"F",5
"29ah0","NRp6","21mc8",5,"F",5
"29ud8","NRz8","22lg6",5,"F",5
"29eb3","NRz8","23eo7",5,"F",5
"29ws7","NRz8","27he9",5,"F",5
"29yp4","NRp6","21qf8",5,"F",5
"28pl8","NRp6","24ts4",6,"F",6
"28ps3","NRz8","22wp3",6,"F",6
"28mx8","NRp6","25gn4",6,"F",6
"28gz1","NRz8","25xn4",6,"F",6
"28zx4","NRz8","21wf7",6,"F",6
"27io1","NRp6","23yk4",7,"F",7
"27he9","NRz8","25xn4",7,"F",7
"27nz4","NRp6","19gi6",7,"F",7
"27ke5","NRz8","23mc8",7,"F",7
"27ko9","NRz8","22vt7",7,"F",7
"NRh1","RFj2","RMt0",6,"M",1
"NRl3","RFp7","RMs0",7,"M",1
