"id","father","mother","age","sexe","career"
"50ho1","NRp7","44jc8",0,"F",0
"50zw2","NRp7","45bt7",0,"F",0
"50si7","NRp7","44gp8",0,"F",0
"49xj4","NRm5","44gp8",1,"F",1
"49dk9","NRb8","46to2",1,"F",1
"49yd9","NRb8","46tw5",1,"F",1
"49lv0","NRb8","45lo1",1,"F",1
"48kk3","NRb8","44qq2",2,"F",2
"48ki9","NRb8","46ya2",2,"F",2
"48qn5","NRm5","41es6",2,"F",2
"48fd8","NRm5","43vr2",2,"F",2
"48ur4","NRb8","42iy2",2,"F",2
"47kg6","NRm5","41pe1",3,"F",3
"47wl1","NRb8","45wn2",3,"F",3
"47vw3","NRb8","44qq2",3,"F",3
"47xz6","NRm5","40qf4",3,"F",3
"47js3","NRb8","41zc1",3,"F",3
"47yp3","NRb8","45lo1",3,"F",3
"46to2","NRb8","40qf4",4,"F",4
"46wa8","NRb8","43kl1",4,"F",4
"46ya2","NRb8","44tl3",4,"F",4
"46tw5","NRm5","39lk9",4,"F",4
"45sk3","NRi9","37lg9",5,"F",5
"45dw9","NRp0","37yk2",5,"F",5
"45wn2","NRp0","39np8",5,"F",5
"45sv5","NRi9","42iy2",5,"F",5
"45bt7","NRp0","40sr7",5,"F",5
"45zo2","NRi9","42ff8",5,"F",5
"45ei2","NRi9","37ip6",5,"F",5
"45lo1","NRi9","39jc9",5,"F",5
"44jc8","NRp0","38qo8",6,"F",6
"44qq2","NRp0","41qe3",6,"F",6
"44pu1","NRi9","41es6",6,"F",6
"44tl3","NRp0","41pe1",6,"F",6
"44gp8","NRi9","36jb7",6,"F",6
"43dl1","NRp0","36jb7",7,"F",7
"43ol6","NRi9","39xv5",7,"F",7
"43vr2","NRi9","37ko1",7,"F",7
"43kl1","NRi9","39br8",7,"F",7
"43qm8","NRi9","35ip2",7,"F",7
"NRp7","RFi1","RMi2",7,"M",1
"NRb7","RFi0","RMx9",6,"M",1
