"id","father","mother","age","sexe","career"
"37yk2","NRl3","34mh7",0,"F",0
"37nd5","NRh1","35cx8",0,"F",0
"37ri6","NRl3","29ah0",0,"F",0
"37lk5","NRl3","31ml2",0,"F",0
"37up4","NRh1","30xd3",0,"F",0
"37lg9","NRl3","30py8",0,"F",0
"37ip6","NRh1","31wr3",0,"F",0
"37ko1","NRh1","33pa3",0,"F",0
"36td1","NRl3","29ud8",1,"F",1
"36jb7","NRl3","33pa3",1,"F",1
"36vg5","NRh1","31bk1",1,"F",1
"36yq8","NRh1","31wh3",1,"F",1
"36nf7","NRl3","33rr8",1,"F",1
"35rh1","NRh1","27io1",2,"F",2
"35cx8","NRh1","31ml2",2,"F",2
"35xv3","NRh1","31qz1",2,"F",2
"35ip2","NRh1","28mx8",2,"F",2
"35qk9","NRh1","29ws7",2,"F",2
"34gh9","NRl3","31qz1",3,"F",3
"34mh7","NRh1","28ps3",3,"F",3
"34jf8","NRh1","30py8",3,"F",3
"33rr8","NRk3","28gz1",4,"F",4
"33cg9","NRk3","26xm9",4,"F",4
"33fx8","NRg1","26gu5",4,"F",4
"33pa3","NRg1","29fy5",4,"F",4
"32pd4","NRk3","26xm9",5,"F",5
"32th7","NRk3","24le7",5,"F",5
"32op6","NRg1","29uk5",5,"F",5
"32mm9","NRg1","25ps5",5,"F",5
"32oy3","NRg1","28mx8",5,"F",5
"31wr3","NRg1","29eb3",6,"F",6
"31wh3","NRg1","28pl8",6,"F",6
"31qe3","NRg1","28zx4",6,"F",6
"31bk1","NRg1","28gz1",6,"F",6
"31qz1","NRk3","27ko9",6,"F",6
"31ml2","NRg1","29ud8",6,"F",6
"30bp5","NRg1","24le7",7,"F",7
"30py8","NRk3","24ph5",7,"F",7
"30jt9","NRg1","23rf5",7,"F",7
"30xd3","NRg1","28gz1",7,"F",7
"NRj0","RFt3","RMd2",2,"M",0
"NRp5","RFa1","RMv1",7,"M",0
