"id","father","mother","age","sexe","career"
"13hd0","NRb4","9lm9",0,"F",0
"13tj8","NRb4","9rl1",0,"F",0
"13fz2","NRb4","5az8",0,"F",0
"13dk3","NRc2","10tn9",0,"F",0
"13pb1","NRb4","5se9",0,"F",0
"13uv8","NRb4","11qb0",0,"F",0
"13dk1","NRc2","6or3",0,"F",0
"13jq6","NRb4","11bc5",0,"F",0
"12ka8","NRb4","8ip6",1,"F",1
"12tc7","NRb4","5dy0",1,"F",1
"12hr6","NRc2","7wc1",1,"F",1
"12kx9","NRc2","10fp1",1,"F",1
"12yg2","NRc2","4ti4",1,"F",1
"11qb0","NRc2","7ch6",2,"F",2
"11bc5","NRb4","7tu1",2,"F",2
"11lb3","NRb4","5et6",2,"F",2
"11dw0","NRb4","8ip6",2,"F",2
"11lu3","NRc2","3im7",2,"F",2
"10hu3","NRb4","7wj0",3,"F",3
"10fp1","NRb4","7wc1",3,"F",3
"10tn9","NRc2","5et6",3,"F",3
"9lm9","NRl0","5lq5",4,"F",4
"9rj7","NRl0","3lu9",4,"F",4
"9pg7","NRl0","5kq9",4,"F",4
"9rl1","NRy4","5se9",4,"F",4
"8ip6","NRy4","0bb6",5,"F",5
"8nr3","NRl0","6jz7",5,"F",5
"8hg0","NRy4","4ti4",5,"F",5
"8bn7","NRl0","1bu6",5,"F",5
"8it1","NRl0","5dy0",5,"F",5
"7ch6","NRy4","0rm8",6,"F",6
"7wj0","NRl0","0qk1",6,"F",6
"7ir8","NRl0","5kq9",6,"F",6
"7wc1","NRl0","3lu9",6,"F",6
"7wk9","NRy4","4jm7",6,"F",6
"7tu1","NRl0","5lq5",6,"F",6
"6tq2","NRl0","0yg9",7,"F",7
"6or3","NRy4","1bu6",7,"F",7
"6qy3","NRl0","4jm7",7,"F",7
"6jz7","NRy4","3im7",7,"F",7
"NRl3","RFg9","RMh4",3,"M",0
"NRt8","RFp9","RMo6",2,"M",0
