"id","father","mother","age","sexe","career"
"24km0","NRt5","20gl2",0,"F",0
"24az7","NRt5","20cm1",0,"F",0
"24ts4","NRq1","16qr3",0,"F",0
"24ph5","NRt5","16up8",0,"F",0
"24le7","NRq1","18um9",0,"F",0
"23rt5","NRt5","19gi6",1,"F",1
"23rf5","NRt5","16ky3",1,"F",1
"23mc8","NRq1","15uh9",1,"F",1
"23eo7","NRt5","15ej0",1,"F",1
"23yk4","NRq1","20gl2",1,"F",1
"23ng4","NRt5","19tm1",1,"F",1
"22fc5","NRt5","19nw2",2,"F",2
"22lg6","NRq1","19eo5",2,"F",2
"22vt7","NRq1","16up8",2,"F",2
"22wp3","NRt5","14kv3",2,"F",2
"21so8","NRz7","13uv8",3,"F",3
"21nq5","NRg3","14kv3",3,"F",3
"21wt4","NRz7","18jy8",3,"F",3
"21fa2","NRz7","18um9",3,"F",3
"21qf8","NRz7","16my5",3,"F",3
"21wf7","NRg3","13pb1",3,"F",3
"21vw9","NRg3","19gi6",3,"F",3
"21mc8","NRg3","15cy0",3,"F",3
"20ju8","NRg3","18um9",4,"F",4
"20hh5","NRz7","13pb1",4,"F",4
"20cm1","NRg3","13dk1",4,"F",4
"20gl2","NRg3","12ka8",4,"F",4
"20bp4","NRg3","13hd0",4,"F",4
"19tm1","NRg3","17yj1",5,"F",5
"19gi6","NRz7","11lu3",5,"F",5
"19eo5","NRg3","11bc5",5,"F",5
"19kr0","NRz7","12tc7",5,"F",5
"19nw2","NRz7","17zq0",5,"F",5
"18wo1","NRz7","11qb0",6,"F",6
"18jy8","NRg3","11dw0",6,"F",6
"18um9","NRg3","11lu3",6,"F",6
"17yj1","NRt8","12tc7",7,"F",7
"17ve6","NRt8","9rl1",7,"F",7
"17wg6","NRl3","11bc5",7,"F",7
"17zq0","NRt8","14sn2",7,"F",7
"NRt5","RFa1","RMb4",11,"M",3
"NRq1","RFu0","RMw4",8,"M",3
