"id","father","mother","age","sexe","career"
"16my5","NRt8","10fp1",0,"F",0
"16kl6","NRt8","14kv3",0,"F",0
"16qr3","NRl3","11dw0",0,"F",0
"16ky3","NRl3","14sn2",0,"F",0
"16up8","NRt8","13hd0",0,"F",0
"15cy0","NRt8","7ch6",1,"F",1
"15sr3","NRl3","7wc1",1,"F",1
"15zm3","NRt8","7wj0",1,"F",1
"15ej0","NRl3","9lm9",1,"F",1
"15uh9","NRl3","13hd0",1,"F",1
"15hi1","NRl3","13pb1",1,"F",1
"14sy1","NRl3","9rl1",2,"F",2
"14ft1","NRt8","12yg2",2,"F",2
"14sn2","NRl3","8hg0",2,"F",2
"14kv3","NRl3","11bc5",2,"F",2
"13hd0","NRb4","9lm9",3,"F",3
"13tj8","NRb4","9rl1",3,"F",3
"13fz2","NRb4","5az8",3,"F",3
"13dk3","NRc2","10tn9",3,"F",3
"13pb1","NRb4","5se9",3,"F",3
"13uv8","NRb4","11qb0",3,"F",3
"13dk1","NRc2","6or3",3,"F",3
"13jq6","NRb4","11bc5",3,"F",3
"12ka8","NRb4","8ip6",4,"F",4
"12tc7","NRb4","5dy0",4,"F",4
"12hr6","NRc2","7wc1",4,"F",4
"12kx9","NRc2","10fp1",4,"F",4
"12yg2","NRc2","4ti4",4,"F",4
"11qb0","NRc2","7ch6",5,"F",5
"11bc5","NRb4","7tu1",5,"F",5
"11lb3","NRb4","5et6",5,"F",5
"11dw0","NRb4","8ip6",5,"F",5
"11lu3","NRc2","3im7",5,"F",5
"10hu3","NRb4","7wj0",6,"F",6
"10fp1","NRb4","7wc1",6,"F",6
"10tn9","NRc2","5et6",6,"F",6
"9lm9","NRl0","5lq5",7,"F",7
"9rj7","NRl0","3lu9",7,"F",7
"9pg7","NRl0","5kq9",7,"F",7
"9rl1","NRy4","5se9",7,"F",7
"NRl3","RFg9","RMh4",6,"M",3
"NRt8","RFp9","RMo6",5,"M",3
