"id","father","mother","age","sexe","career"
"32pd4","NRk3","26xm9",0,"F",0
"32th7","NRk3","24le7",0,"F",0
"32op6","NRg1","29uk5",0,"F",0
"32mm9","NRg1","25ps5",0,"F",0
"32oy3","NRg1","28mx8",0,"F",0
"31wr3","NRg1","29eb3",1,"F",1
"31wh3","NRg1","28pl8",1,"F",1
"31qe3","NRg1","28zx4",1,"F",1
"31bk1","NRg1","28gz1",1,"F",1
"31qz1","NRk3","27ko9",1,"F",1
"31ml2","NRg1","29ud8",1,"F",1
"30bp5","NRg1","24le7",2,"F",2
"30py8","NRk3","24ph5",2,"F",2
"30jt9","NRg1","23rf5",2,"F",2
"30xd3","NRg1","28gz1",2,"F",2
"29nt5","NRp6","26qa0",3,"F",3
"29fy5","NRp6","24ph5",3,"F",3
"29uk5","NRp6","24le7",3,"F",3
"29ah0","NRp6","21mc8",3,"F",3
"29ud8","NRz8","22lg6",3,"F",3
"29eb3","NRz8","23eo7",3,"F",3
"29ws7","NRz8","27he9",3,"F",3
"29yp4","NRp6","21qf8",3,"F",3
"28pl8","NRp6","24ts4",4,"F",4
"28ps3","NRz8","22wp3",4,"F",4
"28mx8","NRp6","25gn4",4,"F",4
"28gz1","NRz8","25xn4",4,"F",4
"28zx4","NRz8","21wf7",4,"F",4
"27io1","NRp6","23yk4",5,"F",5
"27he9","NRz8","25xn4",5,"F",5
"27nz4","NRp6","19gi6",5,"F",5
"27ke5","NRz8","23mc8",5,"F",5
"27ko9","NRz8","22vt7",5,"F",5
"26xm9","NRp6","20hh5",6,"F",6
"26qa0","NRp6","22vt7",6,"F",6
"26gu5","NRz8","18um9",6,"F",6
"25gn4","NRt5","19nw2",7,"F",7
"25xn4","NRt5","19kr0",7,"F",7
"25ps5","NRt5","23mc8",7,"F",7
"25zv7","NRq1","20gl2",7,"F",7
"NRg1","RFv7","RMo1",8,"M",3
"NRk3","RFs0","RMh7",11,"M",3
