"id","father","mother","age","sexe","career"
"27io1","NRp6","23yk4",0,"F",0
"27he9","NRz8","25xn4",0,"F",0
"27nz4","NRp6","19gi6",0,"F",0
"27ke5","NRz8","23mc8",0,"F",0
"27ko9","NRz8","22vt7",0,"F",0
"26xm9","NRp6","20hh5",1,"F",1
"26qa0","NRp6","22vt7",1,"F",1
"26gu5","NRz8","18um9",1,"F",1
"25gn4","NRt5","19nw2",2,"F",2
"25xn4","NRt5","19kr0",2,"F",2
"25ps5","NRt5","23mc8",2,"F",2
"25zv7","NRq1","20gl2",2,"F",2
"24km0","NRt5","20gl2",3,"F",3
"24az7","NRt5","20cm1",3,"F",3
"24ts4","NRq1","16qr3",3,"F",3
"24ph5","NRt5","16up8",3,"F",3
"24le7","NRq1","18um9",3,"F",3
"23rt5","NRt5","19gi6",4,"F",4
"23rf5","NRt5","16ky3",4,"F",4
"23mc8","NRq1","15uh9",4,"F",4
"23eo7","NRt5","15ej0",4,"F",4
"23yk4","NRq1","20gl2",4,"F",4
"23ng4","NRt5","19tm1",4,"F",4
"22fc5","NRt5","19nw2",5,"F",5
"22lg6","NRq1","19eo5",5,"F",5
"22vt7","NRq1","16up8",5,"F",5
"22wp3","NRt5","14kv3",5,"F",5
"21so8","NRz7","13uv8",6,"F",6
"21nq5","NRg3","14kv3",6,"F",6
"21wt4","NRz7","18jy8",6,"F",6
"21fa2","NRz7","18um9",6,"F",6
"21qf8","NRz7","16my5",6,"F",6
"21wf7","NRg3","13pb1",6,"F",6
"21vw9","NRg3","19gi6",6,"F",6
"21mc8","NRg3","15cy0",6,"F",6
"20ju8","NRg3","18um9",7,"F",7
"20hh5","NRz7","13pb1",7,"F",7
"20cm1","NRg3","13dk1",7,"F",7
"20gl2","NRg3","12ka8",7,"F",7
"20bp4","NRg3","13hd0",7,"F",7
"NRz8","RFo3","RMt7",7,"M",2
"NRp6","RFq5","RMt6",10,"M",2
