"id","father","mother","age","sexe","career"
"39xv5","NRj0","31qz1",0,"F",0
"39np8","NRp5","33fx8",0,"F",0
"39lk9","NRp5","35qk9",0,"F",0
"39jc9","NRj0","31ml2",0,"F",0
"39co1","NRj0","32mm9",0,"F",0
"39br8","NRj0","37nd5",0,"F",0
"38yk6","NRj0","33pa3",1,"F",1
"38yf8","NRj0","32oy3",1,"F",1
"38qo8","NRp5","30bp5",1,"F",1
"38nz6","NRj0","35xv3",1,"F",1
"37yk2","NRl3","34mh7",2,"F",2
"37nd5","NRh1","35cx8",2,"F",2
"37ri6","NRl3","29ah0",2,"F",2
"37lk5","NRl3","31ml2",2,"F",2
"37up4","NRh1","30xd3",2,"F",2
"37lg9","NRl3","30py8",2,"F",2
"37ip6","NRh1","31wr3",2,"F",2
"37ko1","NRh1","33pa3",2,"F",2
"36td1","NRl3","29ud8",3,"F",3
"36jb7","NRl3","33pa3",3,"F",3
"36vg5","NRh1","31bk1",3,"F",3
"36yq8","NRh1","31wh3",3,"F",3
"36nf7","NRl3","33rr8",3,"F",3
"35rh1","NRh1","27io1",4,"F",4
"35cx8","NRh1","31ml2",4,"F",4
"35xv3","NRh1","31qz1",4,"F",4
"35ip2","NRh1","28mx8",4,"F",4
"35qk9","NRh1","29ws7",4,"F",4
"34gh9","NRl3","31qz1",5,"F",5
"34mh7","NRh1","28ps3",5,"F",5
"34jf8","NRh1","30py8",5,"F",5
"33rr8","NRk3","28gz1",6,"F",6
"33cg9","NRk3","26xm9",6,"F",6
"33fx8","NRg1","26gu5",6,"F",6
"33pa3","NRg1","29fy5",6,"F",6
"32pd4","NRk3","26xm9",7,"F",7
"32th7","NRk3","24le7",7,"F",7
"32op6","NRg1","29uk5",7,"F",7
"32mm9","NRg1","25ps5",7,"F",7
"32oy3","NRg1","28mx8",7,"F",7
"NRj0","RFt3","RMd2",4,"M",2
"NRp5","RFa1","RMv1",9,"M",2
