"id","father","mother","age","sexe","career"
"33rr8","NRk3","28gz1",0,"F",0
"33cg9","NRk3","26xm9",0,"F",0
"33fx8","NRg1","26gu5",0,"F",0
"33pa3","NRg1","29fy5",0,"F",0
"32pd4","NRk3","26xm9",1,"F",1
"32th7","NRk3","24le7",1,"F",1
"32op6","NRg1","29uk5",1,"F",1
"32mm9","NRg1","25ps5",1,"F",1
"32oy3","NRg1","28mx8",1,"F",1
"31wr3","NRg1","29eb3",2,"F",2
"31wh3","NRg1","28pl8",2,"F",2
"31qe3","NRg1","28zx4",2,"F",2
"31bk1","NRg1","28gz1",2,"F",2
"31qz1","NRk3","27ko9",2,"F",2
"31ml2","NRg1","29ud8",2,"F",2
"30bp5","NRg1","24le7",3,"F",3
"30py8","NRk3","24ph5",3,"F",3
"30jt9","NRg1","23rf5",3,"F",3
"30xd3","NRg1","28gz1",3,"F",3
"29nt5","NRp6","26qa0",4,"F",4
"29fy5","NRp6","24ph5",4,"F",4
"29uk5","NRp6","24le7",4,"F",4
"29ah0","NRp6","21mc8",4,"F",4
"29ud8","NRz8","22lg6",4,"F",4
"29eb3","NRz8","23eo7",4,"F",4
"29ws7","NRz8","27he9",4,"F",4
"29yp4","NRp6","21qf8",4,"F",4
"28pl8","NRp6","24ts4",5,"F",5
"28ps3","NRz8","22wp3",5,"F",5
"28mx8","NRp6","25gn4",5,"F",5
"28gz1","NRz8","25xn4",5,"F",5
"28zx4","NRz8","21wf7",5,"F",5
"27io1","NRp6","23yk4",6,"F",6
"27he9","NRz8","25xn4",6,"F",6
"27nz4","NRp6","19gi6",6,"F",6
"27ke5","NRz8","23mc8",6,"F",6
"27ko9","NRz8","22vt7",6,"F",6
"26xm9","NRp6","20hh5",7,"F",7
"26qa0","NRp6","22vt7",7,"F",7
"26gu5","NRz8","18um9",7,"F",7
"NRh1","RFj2","RMt0",5,"M",0
"NRl3","RFp7","RMs0",6,"M",0
