"id","father","mother","age","sexe","career"
"48kk3","NRb8","44qq2",0,"F",0
"48ki9","NRb8","46ya2",0,"F",0
"48qn5","NRm5","41es6",0,"F",0
"48fd8","NRm5","43vr2",0,"F",0
"48ur4","NRb8","42iy2",0,"F",0
"47kg6","NRm5","41pe1",1,"F",1
"47wl1","NRb8","45wn2",1,"F",1
"47vw3","NRb8","44qq2",1,"F",1
"47xz6","NRm5","40qf4",1,"F",1
"47js3","NRb8","41zc1",1,"F",1
"47yp3","NRb8","45lo1",1,"F",1
"46to2","NRb8","40qf4",2,"F",2
"46wa8","NRb8","43kl1",2,"F",2
"46ya2","NRb8","44tl3",2,"F",2
"46tw5","NRm5","39lk9",2,"F",2
"45sk3","NRi9","37lg9",3,"F",3
"45dw9","NRp0","37yk2",3,"F",3
"45wn2","NRp0","39np8",3,"F",3
"45sv5","NRi9","42iy2",3,"F",3
"45bt7","NRp0","40sr7",3,"F",3
"45zo2","NRi9","42ff8",3,"F",3
"45ei2","NRi9","37ip6",3,"F",3
"45lo1","NRi9","39jc9",3,"F",3
"44jc8","NRp0","38qo8",4,"F",4
"44qq2","NRp0","41qe3",4,"F",4
"44pu1","NRi9","41es6",4,"F",4
"44tl3","NRp0","41pe1",4,"F",4
"44gp8","NRi9","36jb7",4,"F",4
"43dl1","NRp0","36jb7",5,"F",5
"43ol6","NRi9","39xv5",5,"F",5
"43vr2","NRi9","37ko1",5,"F",5
"43kl1","NRi9","39br8",5,"F",5
"43qm8","NRi9","35ip2",5,"F",5
"42ff8","NRp0","37up4",6,"F",6
"42sv9","NRi9","37yk2",6,"F",6
"42iy2","NRi9","35ip2",6,"F",6
"41qe3","NRj0","36nf7",7,"F",7
"41zc1","NRj0","36vg5",7,"F",7
"41es6","NRp5","34jf8",7,"F",7
"41pe1","NRj0","35cx8",7,"F",7
"NRm5","RFr9","RMd1",7,"M",3
"NRb8","RFu1","RMe4",8,"M",3
