"id","father","mother","age","sexe","career"
"36td1","NRl3","29ud8",0,"F",0
"36jb7","NRl3","33pa3",0,"F",0
"36vg5","NRh1","31bk1",0,"F",0
"36yq8","NRh1","31wh3",0,"F",0
"36nf7","NRl3","33rr8",0,"F",0
"35rh1","NRh1","27io1",1,"F",1
"35cx8","NRh1","31ml2",1,"F",1
"35xv3","NRh1","31qz1",1,"F",1
"35ip2","NRh1","28mx8",1,"F",1
"35qk9","NRh1","29ws7",1,"F",1
"34gh9","NRl3","31qz1",2,"F",2
"34mh7","NRh1","28ps3",2,"F",2
"34jf8","NRh1","30py8",2,"F",2
"33rr8","NRk3","28gz1",3,"F",3
"33cg9","NRk3","26xm9",3,"F",3
"33fx8","NRg1","26gu5",3,"F",3
"33pa3","NRg1","29fy5",3,"F",3
"32pd4","NRk3","26xm9",4,"F",4
"32th7","NRk3","24le7",4,"F",4
"32op6","NRg1","29uk5",4,"F",4
"32mm9","NRg1","25ps5",4,"F",4
"32oy3","NRg1","28mx8",4,"F",4
"31wr3","NRg1","29eb3",5,"F",5
"31wh3","NRg1","28pl8",5,"F",5
"31qe3","NRg1","28zx4",5,"F",5
"31bk1","NRg1","28gz1",5,"F",5
"31qz1","NRk3","27ko9",5,"F",5
"31ml2","NRg1","29ud8",5,"F",5
"30bp5","NRg1","24le7",6,"F",6
"30py8","NRk3","24ph5",6,"F",6
"30jt9","NRg1","23rf5",6,"F",6
"30xd3","NRg1","28gz1",6,"F",6
"29nt5","NRp6","26qa0",7,"F",7
"29fy5","NRp6","24ph5",7,"F",7
"29uk5","NRp6","24le7",7,"F",7
"29ah0","NRp6","21mc8",7,"F",7
"29ud8","NRz8","22lg6",7,"F",7
"29eb3","NRz8","23eo7",7,"F",7
"29ws7","NRz8","27he9",7,"F",7
"29yp4","NRp6","21qf8",7,"F",7
"NRh1","RFj2","RMt0",8,"M",3
"NRl3","RFp7","RMs0",9,"M",3
