"id","father","mother","age","sexe","career"
"21so8","NRz7","13uv8",0,"F",0
"21nq5","NRg3","14kv3",0,"F",0
"21wt4","NRz7","18jy8",0,"F",0
"21fa2","NRz7","18um9",0,"F",0
"21qf8","NRz7","16my5",0,"F",0
"21wf7","NRg3","13pb1",0,"F",0
"21vw9","NRg3","19gi6",0,"F",0
"21mc8","NRg3","15cy0",0,"F",0
"20ju8","NRg3","18um9",1,"F",1
"20hh5","NRz7","13pb1",1,"F",1
"20cm1","NRg3","13dk1",1,"F",1
"20gl2","NRg3","12ka8",1,"F",1
"20bp4","NRg3","13hd0",1,"F",1
"19tm1","NRg3","17yj1",2,"F",2
"19gi6","NRz7","11lu3",2,"F",2
"19eo5","NRg3","11bc5",2,"F",2
"19kr0","NRz7","12tc7",2,"F",2
"19nw2","NRz7","17zq0",2,"F",2
"18wo1","NRz7","11qb0",3,"F",3
"18jy8","NRg3","11dw0",3,"F",3
"18um9","NRg3","11lu3",3,"F",3
"17yj1","NRt8","12tc7",4,"F",4
"17ve6","NRt8","9rl1",4,"F",4
"17wg6","NRl3","11bc5",4,"F",4
"17zq0","NRt8","14sn2",4,"F",4
"16my5","NRt8","10fp1",5,"F",5
"16kl6","NRt8","14kv3",5,"F",5
"16qr3","NRl3","11dw0",5,"F",5
"16ky3","NRl3","14sn2",5,"F",5
"16up8","NRt8","13hd0",5,"F",5
"15cy0","NRt8","7ch6",6,"F",6
"15sr3","NRl3","7wc1",6,"F",6
"15zm3","NRt8","7wj0",6,"F",6
"15ej0","NRl3","9lm9",6,"F",6
"15uh9","NRl3","13hd0",6,"F",6
"15hi1","NRl3","13pb1",6,"F",6
"14sy1","NRl3","9rl1",7,"F",7
"14ft1","NRt8","12yg2",7,"F",7
"14sn2","NRl3","8hg0",7,"F",7
"14kv3","NRl3","11bc5",7,"F",7
"NRt5","RFa1","RMb4",8,"M",0
"NRq1","RFu0","RMw4",5,"M",0
