"id","father","mother","age","sexe","career"
"8ip6","NRy4","0bb6",0,"F",0
"8nr3","NRl0","6jz7",0,"F",0
"8hg0","NRy4","4ti4",0,"F",0
"8bn7","NRl0","1bu6",0,"F",0
"8it1","NRl0","5dy0",0,"F",0
"7ch6","NRy4","0rm8",1,"F",1
"7wj0","NRl0","0qk1",1,"F",1
"7ir8","NRl0","5kq9",1,"F",1
"7wc1","NRl0","3lu9",1,"F",1
"7wk9","NRy4","4jm7",1,"F",1
"7tu1","NRl0","5lq5",1,"F",1
"6tq2","NRl0","0yg9",2,"F",2
"6or3","NRy4","1bu6",2,"F",2
"6qy3","NRl0","4jm7",2,"F",2
"6jz7","NRy4","3im7",2,"F",2
"5du9","0th1","0fa1",3,"F",3
"5lq5","0bv8","1jx6",3,"F",3
"5dy0","0bv8","0hy6",3,"F",3
"5kq9","0bv8","3kl4",3,"F",3
"5se9","0bv8","0aa7",3,"F",3
"5az8","0bv8","0bb6",3,"F",3
"5et6","0bv8","1aw3",3,"F",3
"5rm0","0bv8","0ra5",3,"F",3
"4ta2","0bv8","0it3",4,"F",4
"4pv0","0th1","0tn8",4,"F",4
"4ti4","0th1","0fa1",4,"F",4
"4af5","0bv8","0nu4",4,"F",4
"4jm7","0th1","0gl7",4,"F",4
"3kl4","0bv8","0kf6",5,"F",5
"3lu9","0bv8","0le6",5,"F",5
"3vp4","0bv8","0bb6",5,"F",5
"3im7","0bv8","0op6",5,"F",5
"3rc1","0bv8","0gy2",5,"F",5
"2ac8","0bv8","0ij7",6,"F",6
"2ee0","0bv8","0aa7",6,"F",6
"2hs9","0bv8","0co5",6,"F",6
"1bu6","0th1","0kf6",7,"F",7
"1aw3","0th1","0yj8",7,"F",7
"1di7","0th1","0co5",7,"F",7
"1jx6","0bv8","0nz7",7,"F",7
"NRy4","RFz3","RMq5",9,"M",3
"NRl0","RFw7","RMd6",10,"M",3
